VcsUrl,JobName,Random,NonZeroBuildCount,MaxNonZeroBuildCountPerMonth,HitRule
https://github.com/hashicorp/consul,go-test,9722957805553588450,9161,1592,False
https://github.com/tendermint/tendermint,test_apps,10101729670339365409,9066,519,False
https://github.com/grafana/grafana,build-fast-package,3257021635100567077,9020,1027,False
https://github.com/plotly/plotly.js,publish,15162251978998830965,9004,535,False
https://github.com/ethereum/solidity,t_ubu_release_cli,4408760785339178077,8998,832,False
https://github.com/demisto/content,Server 6_0,8381675779487223197,8988,1672,False
https://github.com/expo/expo,web_test_suite,13834182843184718646,8970,864,True
https://github.com/ethereum/solidity,build_x86_mac,16774727156718075735,8958,796,False
https://github.com/electron/electron,linux-x64-debug-gn-check,13816875821315533252,8930,1221,True
https://github.com/electron/electron,linux-arm64-debug-gn-check,9425862827728894663,8926,1225,True
https://github.com/ionic-team/ionic-framework,build,5138326994789837635,8917,581,False
https://github.com/mui-org/material-ui,test_regressions-1,7512946722019840362,8910,880,False
https://github.com/hashicorp/vault,test-ui-browserstack,16269986028338577373,8876,907,False
https://github.com/hashicorp/nomad,test-ui,10193930512305290008,8871,985,False
https://github.com/ant-design/ant-design,test_dist_15,17779273425980155705,8851,710,False
https://github.com/apollographql/apollo-server,Linting,10761574358553368653,8834,965,False
https://github.com/carbon-design-system/carbon,system,4894332577453215126,8774,816,False
https://github.com/astropy/astropy,image-tests-mpl212,15062462838225201898,8771,707,False
https://github.com/ethereum/solidity,t_ems_compile_ext_colony,17105425947639985500,8769,910,False
https://github.com/ant-design/ant-design,test_dom_15,17247066044591021030,8768,683,False
https://github.com/tootsuite/mastodon,test-ruby2.4,13770893616357532548,8741,681,False
https://github.com/diem/diem,build,3014445905992536029,8732,1337,False
https://github.com/ethereum/solidity,t_ems_compile_ext_gnosis,16924769536789243325,8726,910,False
https://github.com/hashicorp/vault,test-go,15242829266546352456,8682,679,True
https://github.com/facebook/jest,test-browser,16730681205026672414,8646,727,False
https://github.com/ionic-team/ionic-framework,build-core,7399529679039995243,8630,545,False
https://github.com/mozilla/bedrock,test_js,9324002940956716799,8589,612,False
https://github.com/ethereum/solidity,test_emscripten_solcjs,6557810571346750348,8569,819,False
https://github.com/ethereum/solidity,chk_docs_pragma_min_version,4633125221187051124,8525,1166,False
https://github.com/openwrt/packages,build,9625986206046025116,8524,507,False
https://github.com/angular/angular-cli,test-win,5433268527193319561,8521,651,False
https://github.com/hashicorp/nomad,test-devices,5912459193321121490,8518,996,False
https://github.com/hashicorp/consul,ember-build,17720292842720114016,8512,730,False
https://github.com/artsy/force,build,3918844462588144309,8499,547,False
https://github.com/algolia/react-instantsearch,test_build,2908659374865258036,8497,856,False
https://github.com/ethereum/solidity,t_ems_compile_ext_zeppelin,15223539579082948155,8471,873,False
https://github.com/citusdata/citus,test-11_check-fol,3624328450211698272,8466,889,False
https://github.com/hashicorp/consul,build-arm,10259696192135699669,8454,839,False
https://github.com/tendermint/tendermint,test_abci_cli,16623831849122684754,8453,540,False
https://github.com/tendermint/tendermint,test_abci_apps,11599293113984648412,8443,538,False
https://github.com/badges/shields,services,1641743501974824755,8418,749,False
https://github.com/hashicorp/nomad,test-shared-exec,11679216963024626622,8410,991,False
https://github.com/circleci/circleci-docs,build,470988643804254674,8405,599,False
https://github.com/hashicorp/nomad,test-exec,965639416503064288,8395,994,False
https://github.com/segmentio/analytics-android,build,13433671591711922709,8378,710,False
https://github.com/ionic-team/ionic-framework,test-core-spec,6424513057744451156,8372,537,False
https://github.com/uktrade/data-hub-frontend,unit_tests,11346855862557506019,8357,538,False
https://github.com/angular/components,mdc_snapshot_test_cronjob,17792498454792816000,8356,743,False
https://github.com/ethereum/solidity,b_ubu_asan,15034817136964223963,8350,916,False
https://github.com/hashicorp/nomad,test-docker,16987734555246898552,8318,986,False
https://github.com/ethereum/solidity,t_ubu_clang_soltest,3710656934061554000,8313,788,False
https://github.com/electron/electron,mac-checkout,12082586925536713857,8307,1347,True
https://github.com/ethereum/solidity,t_ubu_soltest,8880323712227699143,8293,750,False
https://github.com/electron/electron,osx-debug-gn-check,1976432450203719181,8264,1168,False
https://github.com/ant-design/ant-design,test_lib_15,10228845703322573463,8261,667,False
https://github.com/plotly/plotly.js,test-jasmine2,10069578257742657644,8253,410,False
https://github.com/ant-design/ant-design,test_es_15,3396715165591194726,8247,666,False
https://github.com/apollographql/apollo-client,Danger,15387619773014063493,8244,591,False
https://github.com/electron/electron,mas-debug-gn-check,13712796909904921213,8238,1169,False
https://github.com/mne-tools/mne-python,build_docs,12178288611247367976,8190,501,False
https://github.com/ionic-team/ionic-framework,test-core-treeshake,4217825135993537487,8177,543,False
https://github.com/DFEAGILEDEVOPS/MTC,build,13385744424524062953,8147,436,False
https://github.com/openSUSE/open-build-service,backend_test,2747909209281699683,8140,474,False
https://github.com/openSUSE/open-build-service,spider,4419210998479311077,8132,506,False
https://github.com/citusdata/citus,test-11-12_check-pg-upgrade,14636190097467190977,8126,791,False
https://github.com/bioconda/bioconda-recipes,upload-macos,13064077708767102095,8110,573,False
https://github.com/facebook/jest,test-node-10,12517189400398636707,8100,633,False
https://github.com/wordpress-mobile/WordPress-Android,Installable Build,10657903775604713139,8073,695,True
https://github.com/hashicorp/nomad,test-api,14710405474003496886,8070,957,False
https://github.com/grafana/grafana,build-oss-backend-win64,14967561628621044446,8062,1837,True
https://github.com/grafana/grafana,build-oss-backend-linux-x64,11555156375380036783,8043,1831,True
https://github.com/ethereum/solidity,test_check_spelling,13689782165246082068,8033,922,False
https://github.com/grafana/grafana,build-oss-backend-linux-x64-musl,8426531185448277725,8032,1831,True
https://github.com/grafana/grafana,build-oss-backend-osx64,3155156687703498429,8028,1831,True
https://github.com/openSUSE/open-build-service,checkout_code,12863910635496149916,8016,440,False
https://github.com/angular/angular-cli,install,17190656524072104832,8008,755,False
https://github.com/apollographql/apollo-server,NodeJS 10,18084203008829782698,7982,1299,False
https://github.com/oppia/oppia,backend_tests,4012362139195022191,7979,772,False
https://github.com/betagouv/demarches-simplifiees.fr,lint,7557244782516016294,7971,613,False
https://github.com/bioconda/bioconda-recipes,upload-linux,14110708943534343665,7964,563,False
https://github.com/department-of-veterans-affairs/vets-website,e2e-test,719617689603466635,7955,1343,False
https://github.com/grafana/grafana,build-enterprise-backend-win64,11727351448981221287,7953,1792,True
https://github.com/algolia/react-instantsearch,test_e2e,14314841876306333881,7944,834,False
https://github.com/ionic-team/ionic-framework,test-core-lint,1749554328068735126,7942,514,False
https://github.com/grafana/grafana,build-enterprise-backend-linux-x64,9556754402458442915,7939,1789,True
https://github.com/grafana/grafana,build-enterprise-backend-linux-x64-musl,18086441353405785027,7933,1791,True
https://github.com/grafana/grafana,build-enterprise-backend-osx64,5546341461898217110,7926,1783,True
https://github.com/ethereum/solidity,t_ubu_release_soltest,15310826552297219258,7925,755,False
https://github.com/badges/shields,e2e,12779375504901663029,7906,574,False
https://github.com/angular/angular-cli,setup-and-build-win,3234723089348769680,7902,746,False
https://github.com/grafana/grafana,store-build-artifacts,567091368934247345,7865,806,False
https://github.com/citusdata/citus,test-11_check-citus-upgrade,5418097734126497793,7859,786,False
https://github.com/plotly/plotly.js,test-image,9668706033456302983,7856,465,False
https://github.com/algolia/react-instantsearch,test_unit,1367250003999000849,7852,774,False
https://github.com/uktrade/data-hub-frontend,dependencies,1107702401250394642,7847,703,False
https://github.com/algolia/react-instantsearch,test_examples,2082226961113988695,7817,682,False
https://github.com/openSUSE/open-build-service,minitest,13751366743857745915,7814,443,False
https://github.com/decidim/decidim,main,16004197098812923127,7806,679,False
https://github.com/raiden-network/raiden,test-unit-3.7,8398160722692385350,7802,732,False
https://github.com/plotly/plotly.js,test-jasmine,11315122911984945790,7789,421,False
https://github.com/hashicorp/nomad,test-e2e,16220923879311969706,7768,934,False
https://github.com/tendermint/tendermint,localnet,1380796123606428159,7767,630,False
https://github.com/astropy/astropy,image-tests-mpl222,9390140399269632979,7713,706,False
https://github.com/hashicorp/nomad,test-32bit,6300161917883405625,7709,935,False
https://github.com/mozilla/bedrock,test_py,18040788595089343094,7699,545,False
https://github.com/ionic-team/ionic-framework,build-angular,11497541425257410108,7697,541,False
https://github.com/tendermint/tendermint,prepare_build,5125799818369863725,7669,718,False
https://github.com/facebook/react,process_artifacts,167043657821437612,7637,758,False
